iter	RMSE
0	45.44812932
1	43.26014605
2	41.20886174
3	39.2777026
4	37.41550107
5	35.64198675
6	33.95272363
7	32.34797908
8	30.82420985
9	29.3629753
10	27.98084763
11	26.64836275
12	25.39787181
13	24.20117533
14	23.07396997
15	22.00176655
16	20.96908912
17	19.97643813
18	19.06906576
19	18.17046358
20	17.32326117
21	16.55268559
22	15.79254068
23	15.06827502
24	14.35628621
25	13.70316414
26	13.07867013
27	12.47518967
28	11.90673415
29	11.37037411
30	10.85549279
31	10.35694801
32	9.885864748
33	9.440450463
34	9.010827106
35	8.601642726
36	8.212267922
37	7.847628875
38	7.501583091
39	7.167283952
40	6.84486577
41	6.545078527
42	6.261257729
43	5.988551278
44	5.725003117
45	5.491393785
46	5.266627164
47	5.050103783
48	4.848148818
49	4.649065698
50	4.465518707
51	4.285991576
52	4.113365339
53	3.960881054
54	3.802400368
55	3.657395657
56	3.519007875
57	3.389062247
58	3.261342147
59	3.138531771
60	3.026895018
61	2.923857055
62	2.820512748
63	2.729389408
64	2.643731901
65	2.556742521
66	2.477831437
67	2.403449957
68	2.337600476
69	2.269314784
70	2.209442778
71	2.149942799
72	2.096152834
73	2.045565813
74	1.995762032
75	1.94989597
76	1.908090486
77	1.866510457
78	1.826659122
79	1.788435132
80	1.757098634
81	1.725382056
82	1.694848881
83	1.667180151
84	1.640956799
85	1.61663728
86	1.59431306
87	1.573184249
88	1.551639522
89	1.53311923
90	1.514339825
91	1.495605183
92	1.479228787
93	1.464361391
94	1.449951473
95	1.437258644
96	1.42497563
97	1.411399055
98	1.401818461
99	1.39275111
100	1.381243136
101	1.371511524
102	1.36278895
103	1.352768264
104	1.344279482
105	1.336279056
106	1.329338575
107	1.321532636
108	1.313265728
109	1.304717446
110	1.29947754
111	1.293140592
112	1.28785887
113	1.28127124
114	1.276453891
115	1.271184311
116	1.266129198
117	1.261182971
118	1.257524245
119	1.252907065
120	1.247041503
121	1.241901995
122	1.237949212
123	1.233925096
124	1.229699896
125	1.223695863
126	1.219696106
127	1.213389306
128	1.208465298
129	1.20422699
130	1.200669609
131	1.198138607
132	1.195431232
133	1.192434362
134	1.189461332
135	1.186650685
136	1.183556874
137	1.179564097
138	1.17641721
139	1.173403425
140	1.171037591
141	1.16873903
142	1.166794118
143	1.163291355
144	1.16118384
145	1.158336161
146	1.154088418
147	1.150383737
148	1.147018153
149	1.144178963
150	1.142122895
151	1.13982224
152	1.137966815
153	1.13500222
154	1.132089321
155	1.129191972
156	1.126353467
157	1.124038516
158	1.121659728
159	1.119048497
160	1.11733659
161	1.116055675
162	1.114027967
163	1.111537832
164	1.109337164
165	1.105907423
166	1.104200859
167	1.10130448
168	1.099087775
169	1.097402032
170	1.094806813
171	1.092105901
172	1.089876008
173	1.087469698
174	1.084187494
175	1.08211951
176	1.080524848
177	1.078875855
178	1.077016539
179	1.073089043
180	1.070970505
181	1.069591513
182	1.066985993
183	1.063915521
184	1.061988434
185	1.060062407
186	1.059125127
187	1.057893324
188	1.055360245
189	1.053905911
190	1.051472138
191	1.049489677
192	1.047599338
193	1.044693862
194	1.043510395
195	1.041935015
196	1.040481233
197	1.038727483
198	1.035986636
199	1.034463358
200	1.033153377
201	1.031634586
202	1.030351608
203	1.026784846
204	1.023647598
205	1.019620169
206	1.017076978
207	1.013614121
208	1.013139689
209	1.010467257
210	1.00816107
211	1.004660427
212	1.003268022
213	1.001463557
214	0.9997140565
215	0.9975816333
216	0.9973014153
217	0.9954520846
218	0.9935587666
219	0.9930735887
220	0.991681138
221	0.9893335717
222	0.988862878
223	0.9877532313
224	0.9864576918
225	0.985021204
226	0.9836963397
227	0.9815753572
228	0.9801639428
229	0.9775863116
230	0.9762990597
231	0.9760334094
232	0.9748590444
233	0.9727586233
234	0.9725348135
235	0.9712227872
236	0.9699167009
237	0.968885166
238	0.9674880929
239	0.966655579
240	0.9664490832
241	0.9643726968
242	0.9630865767
243	0.9623180969
244	0.9598992642
245	0.9581020265
246	0.9565198258
247	0.9554271976
248	0.9540074292
249	0.9528596805
250	0.9512455391
251	0.9502358038
252	0.9493497285
253	0.9474338655
254	0.9451739076
255	0.943315404
256	0.9421539149
257	0.9413236191
258	0.9393768504
259	0.9385155272
260	0.9371141481
261	0.9362015588
262	0.9346133206
263	0.9325013746
264	0.9310278617
265	0.92952676
266	0.9284868153
267	0.9274057554
268	0.9257848816
269	0.9243435772
270	0.9230821227
271	0.9207216244
272	0.919233806
273	0.9183818486
274	0.9165533191
275	0.9153985544
276	0.9151416397
277	0.9140716505
278	0.9128867893
279	0.9126890767
280	0.9118152909
281	0.9116389352
282	0.9104642925
283	0.9091053932
284	0.9070613155
285	0.9062222348
286	0.9040586376
287	0.9020842556
288	0.901355199
289	0.9000119537
290	0.8975421873
291	0.8965375375
292	0.895271464
293	0.8940008074
294	0.8926258023
295	0.8920457651
296	0.8910454448
297	0.8903238096
298	0.8894239352
299	0.8880419547
300	0.8875390727
301	0.886260911
302	0.8860562005
303	0.8850591411
304	0.8836656759
305	0.8829973924
306	0.8816779499
307	0.8805569788
308	0.8797802163
309	0.8793605317
310	0.8791419798
311	0.8768213261
312	0.8757964888
313	0.8744167324
314	0.8742619647
315	0.8723275932
316	0.8716888879
317	0.8705785843
318	0.8691178997
319	0.8684181267
320	0.8678523611
321	0.8669617972
322	0.8660097331
323	0.8656602167
324	0.8646591138
325	0.8643035752
326	0.8634076127
327	0.8624319094
328	0.8615013949
329	0.860295813
330	0.8590621789
331	0.8582324829
332	0.8577143439
333	0.8567727471
334	0.8551813151
335	0.8546271166
336	0.8536102365
337	0.85272029
338	0.8519955033
339	0.8510589042
340	0.8494658066
341	0.8489499648
342	0.8479959303
343	0.8469660936
344	0.8456582152
345	0.844584129
346	0.8433275257
347	0.8422770992
348	0.8421091883
349	0.8413716272
350	0.8408349583
351	0.8400427217
352	0.8396687637
353	0.8381740444
354	0.8363354753
355	0.8354796876
356	0.8346917252
357	0.8340482251
358	0.8331759675
359	0.8326738697
360	0.8318347113
361	0.8304732752
362	0.8295369701
363	0.8292849833
364	0.8286639874
365	0.8280509807
366	0.8272303921
367	0.8266752941
368	0.8261780369
369	0.8250847713
370	0.8239173305
371	0.8233822548
372	0.8226507986
373	0.8218733663
374	0.8201215598
375	0.8198235188
376	0.8181900167
377	0.817584583
378	0.8165368231
379	0.8158424505
380	0.8152987883
