iter	Passed	Remaining
0	0	831
1	1	733
2	2	719
3	2	705
4	3	680
5	4	678
6	4	671
7	5	681
8	6	705
9	7	697
10	7	701
11	8	694
12	9	683
13	9	680
14	10	678
15	10	669
16	11	682
17	12	684
18	13	681
19	13	675
20	14	677
21	15	678
22	15	671
23	16	670
24	17	674
25	18	674
26	18	670
27	19	672
28	20	672
29	20	672
30	21	678
31	22	691
32	23	699
33	24	696
34	25	700
35	26	700
36	27	719
37	28	724
38	29	725
39	30	722
40	30	719
41	31	718
42	32	716
43	32	713
44	70	1496
45	71	1486
46	72	1473
47	73	1456
48	74	1446
49	75	1428
50	88	1653
51	90	1641
52	90	1623
53	91	1603
54	92	1583
55	92	1562
56	93	1545
57	94	1527
58	94	1509
59	95	1496
60	97	1495
61	97	1481
62	98	1465
63	99	1450
64	99	1437
65	100	1421
66	101	1409
67	102	1398
68	102	1389
69	103	1380
70	104	1368
71	105	1356
72	106	1346
73	106	1336
74	107	1325
75	108	1313
76	108	1302
77	109	1291
78	109	1279
79	110	1270
80	111	1261
81	111	1249
82	112	1240
83	112	1230
84	113	1221
85	114	1213
86	114	1205
87	115	1197
88	116	1188
89	116	1180
90	117	1173
91	118	1165
92	119	1161
93	120	1156
94	120	1150
95	121	1144
96	122	1137
97	122	1130
98	123	1123
99	123	1115
100	124	1109
101	125	1104
102	126	1099
103	126	1093
104	127	1087
105	128	1082
106	129	1077
107	129	1071
108	130	1065
109	131	1060
110	131	1053
111	132	1047
112	132	1042
113	133	1037
114	134	1034
115	135	1031
116	135	1025
117	136	1022
118	137	1018
119	138	1012
120	138	1007
121	139	1002
122	139	996
123	140	991
124	141	987
125	142	985
126	142	980
127	143	976
128	143	970
129	144	966
130	145	963
131	145	958
132	146	954
133	147	951
134	147	946
135	148	942
136	149	938
137	149	935
138	150	931
139	151	928
140	151	925
141	152	921
142	152	916
143	153	912
144	154	908
145	154	904
146	155	900
147	155	897
148	157	896
149	157	892
150	158	889
151	159	887
152	159	883
153	160	879
154	160	876
155	161	872
156	161	869
157	162	866
158	163	862
159	163	859
160	164	856
161	165	853
162	165	851
163	166	849
164	167	846
165	167	843
166	168	841
167	169	838
168	169	835
169	170	833
170	171	830
171	171	827
172	172	826
173	173	824
174	174	822
175	175	821
176	176	819
177	177	818
178	177	816
179	178	813
180	179	811
181	179	808
182	180	805
183	181	803
184	181	800
185	182	800
186	183	797
187	184	794
188	184	792
189	185	789
190	185	787
191	186	785
192	187	782
193	187	780
194	188	778
195	189	776
196	189	773
197	190	771
198	191	769
199	191	766
200	192	764
201	192	761
202	193	759
203	194	757
204	194	754
205	195	752
206	195	750
207	196	748
208	197	746
209	198	744
210	198	743
211	199	741
212	200	739
213	200	737
214	201	734
215	201	732
216	202	730
217	202	727
218	203	725
219	203	723
220	204	720
221	205	718
222	205	716
223	206	715
224	206	712
225	207	710
226	208	708
227	208	706
228	209	704
229	209	702
230	210	701
231	211	699
232	211	696
233	212	695
234	212	693
235	213	691
236	214	689
237	214	687
238	215	685
239	216	684
240	216	681
241	217	679
242	217	677
243	218	675
244	218	674
245	219	672
246	219	670
247	220	668
248	221	666
249	221	665
250	222	662
251	222	661
252	223	659
253	223	657
254	224	656
255	225	654
256	225	652
257	226	650
258	226	648
259	227	646
260	227	645
261	228	643
262	229	642
263	230	642
264	230	640
265	231	638
266	231	636
267	232	634
268	233	633
269	233	631
270	234	630
271	234	628
272	235	627
273	235	625
274	236	623
275	237	621
276	237	620
277	238	618
278	238	617
279	239	615
280	239	613
281	240	612
282	240	610
283	242	610
284	242	608
285	243	607
286	244	606
287	244	604
288	246	605
289	246	604
290	247	602
291	248	601
292	248	600
293	249	598
294	250	597
295	250	595
296	251	594
297	251	592
298	252	591
299	252	590
300	253	588
301	254	587
302	254	585
303	255	584
304	256	583
305	256	581
306	257	580
307	257	579
308	258	577
309	259	576
310	259	575
311	260	573
312	261	572
313	261	571
314	262	570
315	262	568
316	263	568
317	264	567
318	265	565
319	265	564
320	266	562
321	266	561
322	267	560
323	268	559
324	268	558
325	269	556
326	270	555
327	270	554
328	271	553
329	271	552
330	272	550
331	273	549
332	273	548
333	274	546
334	274	545
335	275	544
336	276	543
337	276	542
338	277	541
339	278	540
340	278	539
341	279	537
342	280	536
343	280	535
344	281	533
345	281	532
346	282	531
347	283	530
348	284	530
349	285	529
350	285	528
351	286	527
352	287	526
353	288	525
354	288	524
355	289	523
356	290	522
357	290	521
358	291	520
359	292	519
360	292	518
361	294	518
362	294	517
363	295	516
364	296	515
365	296	514
366	297	513
367	298	511
368	298	510
369	299	509
370	299	508
371	300	507
372	301	506
373	302	506
374	304	507
375	307	509
376	308	509
377	310	510
378	311	510
379	312	510
380	314	511
381	316	511
382	318	512
383	319	513
384	321	513
385	322	513
386	324	514
387	326	514
388	327	514
389	329	514
390	330	514
391	332	516
392	334	516
393	336	516
394	337	517
395	338	515
396	338	514
397	339	513
398	340	512
399	340	511
400	341	510
401	342	509
402	343	508
403	343	507
404	344	506
405	346	506
406	346	505
407	347	504
408	348	503
409	349	502
410	349	501
411	350	500
412	351	499
413	352	498
414	352	497
415	353	496
416	353	494
417	354	493
418	355	492
419	355	491
420	356	490
421	357	489
422	357	488
423	358	486
424	358	485
425	359	483
426	359	482
427	360	481
428	360	480
429	361	478
430	361	477
431	362	476
432	363	475
433	363	474
434	364	472
435	364	471
436	365	470
437	365	469
438	366	468
439	366	467
440	367	465
441	368	464
442	368	463
443	369	462
444	369	460
445	370	459
446	370	458
447	371	457
448	372	456
449	372	455
450	373	454
451	373	453
452	374	451
453	374	450
454	375	449
455	375	448
456	376	447
457	376	446
458	377	444
459	377	443
460	378	442
461	379	441
462	379	440
463	380	439
464	380	437
465	381	436
466	381	435
467	382	434
468	382	433
469	383	432
470	383	431
471	384	430
472	385	429
473	385	428
474	386	427
475	386	425
476	387	424
477	388	423
478	388	422
479	389	421
480	389	420
481	390	419
482	390	418
483	391	417
484	391	415
485	392	414
486	392	413
487	393	412
488	393	411
489	394	410
490	394	409
491	395	408
492	396	407
493	396	406
494	397	405
495	397	403
496	397	402
497	398	401
498	399	400
499	399	399
500	400	398
501	400	397
502	400	396
503	401	395
504	402	394
505	402	393
506	403	392
507	403	391
508	404	390
509	404	388
510	405	387
511	405	386
512	406	385
513	406	384
514	407	383
515	407	382
516	408	381
517	408	380
518	409	379
519	409	378
520	410	377
521	410	376
522	411	375
523	411	373
524	412	372
525	412	371
526	413	370
527	413	369
528	414	368
529	414	367
530	415	366
531	415	365
532	415	364
533	416	363
534	416	362
535	417	361
536	417	360
537	418	359
538	418	358
539	419	357
540	419	356
541	420	355
542	420	354
543	421	353
